INSTANCE;GROUP;ORDER;SOLVER;MQ;TIME
small;1;2;ILS;1.8333;10
small;1;2;ILS;1.8333;0
small;1;2;ILS;1.8333;5
small;1;2;ILS;1.8333;0
small;1;2;ILS;1.8333;0
small;1;2;ILS;1.8333;0
small;1;2;ILS;1.8333;0
small;1;2;ILS;1.8333;5
small;1;2;ILS;1.8333;0
small;1;2;ILS;1.8333;5
small;1;2;ILS;1.8333;0
small;1;2;ILS;1.8333;0
small;1;2;ILS;1.8333;0
small;1;2;ILS;1.8333;0
small;1;2;ILS;1.8333;0
small;1;2;ILS;1.8333;0
small;1;2;ILS;1.8333;0
small;1;2;ILS;1.8333;5
small;1;2;ILS;1.8333;0
small;1;2;ILS;1.8333;0
small;1;2;ILS;1.8333;0
small;1;2;ILS;1.8333;0
small;1;2;ILS;1.8333;0
small;1;2;ILS;1.8333;5
small;1;2;ILS;1.8333;0
small;1;2;ILS;1.8333;0
small;1;2;ILS;1.8333;0
small;1;2;ILS;1.8333;0
small;1;2;ILS;1.8333;0
small;1;2;ILS;1.8333;0
small;1;2;ILS;1.8333;0
small;1;2;ILS;1.8333;0
small;1;2;ILS;1.8333;0
small;1;2;ILS;1.8333;0
small;1;2;ILS;1.8333;0
small;1;2;ILS;1.8333;0
small;1;2;ILS;1.8333;5
small;1;2;ILS;1.8333;0
small;1;2;ILS;1.8333;0
small;1;2;ILS;1.8333;0
small;1;2;ILS;1.8333;0
small;1;2;ILS;1.8333;0
small;1;2;ILS;1.8333;5
small;1;2;ILS;1.8333;0
small;1;2;ILS;1.8333;0
small;1;2;ILS;1.8333;0
small;1;2;ILS;1.8333;0
small;1;2;ILS;1.8333;0
small;1;2;ILS;1.8333;15
small;1;2;ILS;1.8333;0
small;1;2;ILS;1.8333;0
small;1;2;ILS;1.8333;0
small;1;2;ILS;1.8333;0
small;1;2;ILS;1.8333;0
small;1;2;ILS;1.8333;0
small;1;2;ILS;1.8333;0
small;1;2;ILS;1.8333;0
small;1;2;ILS;1.8333;0
small;1;2;ILS;1.8333;0
small;1;2;ILS;1.8333;5
small;1;2;ILS;1.8333;0
small;1;2;ILS;1.8333;0
small;1;2;ILS;1.8333;0
small;1;2;ILS;1.8333;0
small;1;2;ILS;1.8333;0
small;1;2;ILS;1.8333;0
small;1;2;ILS;1.8333;5
small;1;2;ILS;1.8333;0
small;1;2;ILS;1.8333;0
small;1;2;ILS;1.8333;0
small;1;2;ILS;1.8333;0
small;1;2;ILS;1.8333;0
small;1;2;ILS;1.8333;0
small;1;2;ILS;1.8333;5
small;1;2;ILS;1.8333;0
small;1;2;ILS;1.8333;0
small;1;2;ILS;1.8333;0
small;1;2;ILS;1.8333;0
small;1;2;ILS;1.8333;0
small;1;2;ILS;1.8333;0
small;1;2;ILS;1.8333;5
small;1;2;ILS;1.8333;0
small;1;2;ILS;1.8333;0
small;1;2;ILS;1.8333;0
small;1;2;ILS;1.8333;0
small;1;2;ILS;1.8333;0
small;1;2;ILS;1.8333;5
small;1;2;ILS;1.8333;0
small;1;2;ILS;1.8333;0
small;1;2;ILS;1.8333;0
small;1;2;ILS;1.8333;0
small;1;2;ILS;1.8333;0
small;1;2;ILS;1.8333;0
small;1;2;ILS;1.8333;0
small;1;2;ILS;1.8333;0
small;1;2;ILS;1.8333;0
small;1;2;ILS;1.8333;0
small;1;2;ILS;1.8333;0
small;1;2;ILS;1.8333;0
small;1;2;ILS;1.8333;5
compiler;1;3;ILS;1.5065;0
compiler;1;3;ILS;1.5065;5
compiler;1;3;ILS;1.5065;5
compiler;1;3;ILS;1.5065;0
compiler;1;3;ILS;1.5065;5
compiler;1;3;ILS;1.5065;5
compiler;1;3;ILS;1.5065;0
compiler;1;3;ILS;1.5065;5
compiler;1;3;ILS;1.5065;5
compiler;1;3;ILS;1.5065;0
compiler;1;3;ILS;1.5065;5
compiler;1;3;ILS;1.5065;0
compiler;1;3;ILS;1.5065;0
compiler;1;3;ILS;1.5065;5
compiler;1;3;ILS;1.5065;0
compiler;1;3;ILS;1.5065;5
compiler;1;3;ILS;1.5065;5
compiler;1;3;ILS;1.5065;0
compiler;1;3;ILS;1.5065;5
compiler;1;3;ILS;1.5065;5
compiler;1;3;ILS;1.5065;0
compiler;1;3;ILS;1.5065;5
compiler;1;3;ILS;1.5065;35
compiler;1;3;ILS;1.5065;5
compiler;1;3;ILS;1.5065;0
compiler;1;3;ILS;1.5065;5
compiler;1;3;ILS;1.5065;0
compiler;1;3;ILS;1.5065;5
compiler;1;3;ILS;1.5065;5
compiler;1;3;ILS;1.5065;0
compiler;1;3;ILS;1.5065;5
compiler;1;3;ILS;1.5065;5
compiler;1;3;ILS;1.5065;0
compiler;1;3;ILS;1.5065;5
compiler;1;3;ILS;1.5065;0
compiler;1;3;ILS;1.5065;5
compiler;1;3;ILS;1.5065;5
compiler;1;3;ILS;1.5065;0
compiler;1;3;ILS;1.5065;5
compiler;1;3;ILS;1.5065;0
compiler;1;3;ILS;1.5065;5
compiler;1;3;ILS;1.5065;0
compiler;1;3;ILS;1.5065;5
compiler;1;3;ILS;1.5065;5
compiler;1;3;ILS;1.5065;0
compiler;1;3;ILS;1.5065;5
compiler;1;3;ILS;1.5065;0
compiler;1;3;ILS;1.5065;5
compiler;1;3;ILS;1.5065;5
compiler;1;3;ILS;1.5065;0
compiler;1;3;ILS;1.5065;5
compiler;1;3;ILS;1.5065;0
compiler;1;3;ILS;1.5065;5
compiler;1;3;ILS;1.5065;0
compiler;1;3;ILS;1.5065;0
compiler;1;3;ILS;1.5065;25
compiler;1;3;ILS;1.5065;0
compiler;1;3;ILS;1.5065;5
compiler;1;3;ILS;1.5065;5
compiler;1;3;ILS;1.5065;0
compiler;1;3;ILS;1.5065;5
compiler;1;3;ILS;1.5065;0
compiler;1;3;ILS;1.5065;5
compiler;1;3;ILS;1.5065;5
compiler;1;3;ILS;1.5065;5
compiler;1;3;ILS;1.5065;5
compiler;1;3;ILS;1.5065;0
compiler;1;3;ILS;1.5065;5
compiler;1;3;ILS;1.5065;5
compiler;1;3;ILS;1.5065;5
compiler;1;3;ILS;1.5065;0
compiler;1;3;ILS;1.5065;5
compiler;1;3;ILS;1.5065;0
compiler;1;3;ILS;1.5065;5
compiler;1;3;ILS;1.5065;5
compiler;1;3;ILS;1.5065;0
compiler;1;3;ILS;1.5065;5
compiler;1;3;ILS;1.5065;5
compiler;1;3;ILS;1.5065;0
compiler;1;3;ILS;1.5065;5
compiler;1;3;ILS;1.5065;0
compiler;1;3;ILS;1.5065;0
compiler;1;3;ILS;1.5065;5
compiler;1;3;ILS;1.5065;0
compiler;1;3;ILS;1.5065;5
compiler;1;3;ILS;1.5065;5
compiler;1;3;ILS;1.5065;0
compiler;1;3;ILS;1.5065;5
compiler;1;3;ILS;1.5065;5
compiler;1;3;ILS;1.5065;5
compiler;1;3;ILS;1.5065;0
compiler;1;3;ILS;1.5065;5
compiler;1;3;ILS;1.5065;5
compiler;1;3;ILS;1.5065;0
compiler;1;3;ILS;1.5065;5
compiler;1;3;ILS;1.5065;5
compiler;1;3;ILS;1.5065;5
compiler;1;3;ILS;1.5065;0
compiler;1;3;ILS;1.5065;5
compiler;1;3;ILS;1.5065;5
jstl;1;6;ILS;5;5
jstl;1;6;ILS;5;10
jstl;1;6;ILS;5;5
jstl;1;6;ILS;5;0
jstl;1;6;ILS;5;5
jstl;1;6;ILS;5;0
jstl;1;6;ILS;5;5
jstl;1;6;ILS;5;0
jstl;1;6;ILS;5;5
jstl;1;6;ILS;5;5
jstl;1;6;ILS;5;0
jstl;1;6;ILS;5;5
jstl;1;6;ILS;5;0
jstl;1;6;ILS;5;0
jstl;1;6;ILS;5;5
jstl;1;6;ILS;5;0
jstl;1;6;ILS;5;5
jstl;1;6;ILS;5;0
jstl;1;6;ILS;5;5
jstl;1;6;ILS;5;5
jstl;1;6;ILS;5;0
jstl;1;6;ILS;5;5
jstl;1;6;ILS;5;0
jstl;1;6;ILS;5;5
jstl;1;6;ILS;5;5
jstl;1;6;ILS;5;0
jstl;1;6;ILS;5;5
jstl;1;6;ILS;5;0
jstl;1;6;ILS;5;5
jstl;1;6;ILS;5;0
jstl;1;6;ILS;5;5
jstl;1;6;ILS;5;5
jstl;1;6;ILS;5;5
jstl;1;6;ILS;5;0
jstl;1;6;ILS;5;5
jstl;1;6;ILS;5;0
jstl;1;6;ILS;5;0
jstl;1;6;ILS;5;5
jstl;1;6;ILS;5;0
jstl;1;6;ILS;5;5
jstl;1;6;ILS;5;0
jstl;1;6;ILS;5;5
jstl;1;6;ILS;5;5
jstl;1;6;ILS;5;0
jstl;1;6;ILS;5;5
jstl;1;6;ILS;5;0
jstl;1;6;ILS;5;5
jstl;1;6;ILS;5;5
jstl;1;6;ILS;5;0
jstl;1;6;ILS;5;5
jstl;1;6;ILS;5;0
jstl;1;6;ILS;5;5
jstl;1;6;ILS;5;0
jstl;1;6;ILS;5;0
jstl;1;6;ILS;5;5
jstl;1;6;ILS;5;5
jstl;1;6;ILS;5;5
jstl;1;6;ILS;5;5
jstl;1;6;ILS;5;0
jstl;1;6;ILS;5;0
jstl;1;6;ILS;5;5
jstl;1;6;ILS;5;0
jstl;1;6;ILS;5;5
jstl;1;6;ILS;5;0
jstl;1;6;ILS;5;5
jstl;1;6;ILS;5;0
jstl;1;6;ILS;5;5
jstl;1;6;ILS;5;5
jstl;1;6;ILS;5;0
jstl;1;6;ILS;5;5
jstl;1;6;ILS;5;0
jstl;1;6;ILS;5;5
jstl;1;6;ILS;5;0
jstl;1;6;ILS;5;5
jstl;1;6;ILS;5;0
jstl;1;6;ILS;5;5
jstl;1;6;ILS;5;5
jstl;1;6;ILS;5;0
jstl;1;6;ILS;5;5
jstl;1;6;ILS;5;0
jstl;1;6;ILS;5;5
jstl;1;6;ILS;5;0
jstl;1;6;ILS;5;5
jstl;1;6;ILS;5;0
jstl;1;6;ILS;5;0
jstl;1;6;ILS;5;5
jstl;1;6;ILS;5;0
jstl;1;6;ILS;5;5
jstl;1;6;ILS;5;0
jstl;1;6;ILS;5;5
jstl;1;6;ILS;5;5
jstl;1;6;ILS;5;0
jstl;1;6;ILS;5;5
jstl;1;6;ILS;5;0
jstl;1;6;ILS;5;5
jstl;1;6;ILS;5;5
jstl;1;6;ILS;5;5
jstl;1;6;ILS;5;5
jstl;1;6;ILS;5;5
jstl;1;6;ILS;5;20
lab4;1;7;ILS;3.4;0
lab4;1;7;ILS;3.4;5
lab4;1;7;ILS;3.4;0
lab4;1;7;ILS;3.4;5
lab4;1;7;ILS;3.4;5
lab4;1;7;ILS;3.4;0
lab4;1;7;ILS;3.4;5
lab4;1;7;ILS;3.4;5
lab4;1;7;ILS;3.4;0
lab4;1;7;ILS;3.4;5
lab4;1;7;ILS;3.4;0
lab4;1;7;ILS;3.4;5
lab4;1;7;ILS;3.4;0
lab4;1;7;ILS;3.4;5
lab4;1;7;ILS;3.4;5
lab4;1;7;ILS;3.4;0
lab4;1;7;ILS;3.4;5
lab4;1;7;ILS;3.4;0
lab4;1;7;ILS;3.4;5
lab4;1;7;ILS;3.4;5
lab4;1;7;ILS;3.4;0
lab4;1;7;ILS;3.4;5
lab4;1;7;ILS;3.4;0
lab4;1;7;ILS;3.4;5
lab4;1;7;ILS;3.4;5
lab4;1;7;ILS;3.4;0
lab4;1;7;ILS;3.4;5
lab4;1;7;ILS;3.4;0
lab4;1;7;ILS;3.4;5
lab4;1;7;ILS;3.4;0
lab4;1;7;ILS;3.4;0
lab4;1;7;ILS;3.4;5
lab4;1;7;ILS;3.4;0
lab4;1;7;ILS;3.4;5
lab4;1;7;ILS;3.4;0
lab4;1;7;ILS;3.4;5
lab4;1;7;ILS;3.4;5
lab4;1;7;ILS;3.4;0
lab4;1;7;ILS;3.4;5
lab4;1;7;ILS;3.4;0
lab4;1;7;ILS;3.4;5
lab4;1;7;ILS;3.4;0
lab4;1;7;ILS;3.4;5
lab4;1;7;ILS;3.4;0
lab4;1;7;ILS;3.4;0
lab4;1;7;ILS;3.4;5
lab4;1;7;ILS;3.4;0
lab4;1;7;ILS;3.4;5
lab4;1;7;ILS;3.4;0
lab4;1;7;ILS;3.4;5
lab4;1;7;ILS;3.4;0
lab4;1;7;ILS;3.4;5
lab4;1;7;ILS;3.4;5
lab4;1;7;ILS;3.4;0
lab4;1;7;ILS;3.4;5
lab4;1;7;ILS;3.4;0
lab4;1;7;ILS;3.4;5
lab4;1;7;ILS;3.4;0
lab4;1;7;ILS;3.4;5
lab4;1;7;ILS;3.4;5
lab4;1;7;ILS;3.4;0
lab4;1;7;ILS;3.4;5
lab4;1;7;ILS;3.4;5
lab4;1;7;ILS;3.4;0
lab4;1;7;ILS;3.4;5
lab4;1;7;ILS;3.4;0
lab4;1;7;ILS;3.4;5
lab4;1;7;ILS;3.4;5
lab4;1;7;ILS;3.4;0
lab4;1;7;ILS;3.4;5
lab4;1;7;ILS;3.4;0
lab4;1;7;ILS;3.4;5
