INSTANCE;MODULES_pre;DEPENDENCIES_pre;MODULES_pos;DEPENDENCIES_pos
squid;2;2;1;1
small;6;5;3;5
compiler;13;32;13;32
random;13;32;12;23
regexp;14;20;9;18
jstl;15;20;14;15
lab4;15;18;10;14
netkit-ping;15;15;1;1
nss_ldap;15;16;3;4
nos;16;52;15;50
lslayout;17;43;17;43
boxer;18;29;12;29
netkit-tftpd;18;23;6;11
sharutils;19;36;14;30
mtunis;20;57;20;57
spdb;21;33;7;8
xtell;22;57;14;44
bunch;23;62;15;45
ispell;24;103;23;97
netkit-inetd;24;25;4;6
nanoxml;25;64;23;62
ciald;26;64;22;62
jodamoney;26;102;26;85
modulizer;26;66;18;57
bootp;27;75;19;55
jxlsreader;27;73;25;73
sysklogd-1;28;74;22;65
telnetd;28;81;19;62
crond;29;112;25;90
netkit-ftp;29;95;24;76
rcs;29;163;28;155
seemp;30;61;21;43
dhcpd-2;31;122;26;104
cyrus-sasl;32;100;21;77
tcsh;32;105;23;86
micq;33;156;26;116
apache_zip;36;86;30;74
star;36;89;36;89
bison;37;179;36;167
cia;38;636;34;167
stunnel;38;97;25;78
minicom;40;257;35;198
mailx;41;331;38;244
dot;42;255;40;248
screen;42;292;35;208
slang;45;242;42;184
slrn;45;323;37;231
net-tools;48;183;44;157
graph10up49;49;1650;49;1054
wu-ftpd-1;50;230;44;187
joe;51;540;44;318
hw;53;51;15;28
imapd-1;53;298;40;211
wu-ftpd-3;54;278;48;222
udt-java;56;227;54;210
javaocr;58;155;43;126
dhcpd-1;59;571;55;398
icecast;60;650;51;419
pfcda_base;60;197;54;168
servletapi;61;131;47;122
php;62;191;39;148
bunch2;65;151;42;111
forms;68;270;64;224
jscatterplot;74;232;68;171
jxlscore;79;330;67;305
elm-2;81;683;75;541
jfluid;81;315;75;276
grappa;86;295;76;249
elm-1;88;941;81;736
gnupg;88;601;74;420
inn;90;624;80;485
bash;92;901;86;662
jpassword;96;361;87;332
bitchx;97;1653;92;1075
junit;99;276;61;193
xntp;111;729;95;534
acqcigna;114;188;75;157
bunch_2;116;364;98;355
exim;118;1255;105;891
xmldom;118;209;67;159
cia++;124;369;63;309
tinytim;129;564;122;499
mod_ssl;135;1095;123;752
jkaryoscope;136;460;127;345
ncurses;138;682;120;487
gae_plugin_core;139;375;87;259
lynx;148;1745;100;1211
javacc;153;722;145;663
lucent;153;103;66;74
javageom;171;1445;160;1339
incl;174;360;122;329
jdendogram;177;583;148;447
xmlapi;182;413;125;358
jmetal;190;1137;178;1123
graph10up193;193;9190;193;7552
dom4j;195;930;181;876
nmh;198;3262;190;2473
pdf_renderer;199;629;172;497
jung_graph_model;207;603;187;532
jung_visualization;208;919;192;837
jconsole;220;859;187;663
pfcda_swing;248;885;237;801
jml-1.0b4;267;1745;262;1671
jpassword2;269;1348;248;1171
notelab-full;293;1349;273;1233
poormans cms;301;1118;253;1009
log4j;305;1078;258;944
jtreeview;320;1057;268;830
bunchall;324;1339;243;1250
jace;338;1524;271;1209
javaws;377;1403;293;1107
swing;413;1513;377;1478
lwjgl-2.8.4;453;1976;392;1790
res_cobol;470;7163;461;5690
ping_libc;481;2854;395;1802
y_base;556;2510;479;2166
krb5;558;3793;508;2494
apache_ant_taskdef;626;2421;538;2108
itextpdf;650;3898;603;3555
apache_lucene_core;738;3726;712;3330
eclipse_jgit;909;5452;872;4904
linux;916;13493;876;11059
apache_ant;1085;5329;999;4881
ylayout;1161;5770;1004;4990
